,riffle.total,riffle.percentage,margin.total,margin.percentage
Oligochaetes (True worms),5,0.6,18,2.2
Glossiphoniidae,2,0.2,9,1.1
Planarians (flatworms),5,0.6,0,0.0
Crenobia alpina,0,0.0,0,0.0
Crustacea:,0,0.0,0,0.0
Gammarus,28,3.4,27,3.3
"Plecoptera: (Stoneflies, 2 'cerci'",0,0.0,15,1.8
"Leuctridae (long-thin, brown)",118,14.4,146,18.0
Perlodidae (mottled yellow/green),0,0.0,5,0.6
Ephemeroptera (3 'cerci'),11,1.3,3,0.4
Baetidae (torpedo sahped),210,25.6,200,24.7
Heptagenidae (flattened 'F1' design),57,7.0,60,7.4
Siphlonuridae (torpedo shape - spines on abdomen),0,0.0,0,0.0
"Ephemerellidae (feather-gills, 'zebra' pattern)",290,35.4,214,26.4
"Caenidae (small, enlarged first gill)",0,0.0,2,0.2
Leptophlebidae (fork-shaped gills),0,0.0,0,0.0
Trichoptera:,1,0.1,0,0.0
"Hydropsychidae (caseless, brown, gills on underside)",13,1.6,2,0.2
"Rhyacophilidae (caseless, green, gills on side)",14,1.7,13,1.6
"Polycentropodidae (caseless, pinkish, no gills)",0,0.0,1,0.1
"Lepidostomatidae (cased, regular leaf fragments)",4,0.5,0,0.0
Limnephilidae (cased; irregular stone grains or 'sticks'),2,0.2,1,0.1
"Goeridae (cased, 1 or 2 large stones at margins of case)",0,0.0,1,0.1
"Sericostomatidae (cased, very regular sand grains)",1,0.1,0,0.0
Psychomyidae,6,0.7,0,0.0
Philopotamidae,5,0.6,9,1.1
Odontoceridae (cased; larvae with 'anchor' shape on forehead,0,0.0,5,0.6
Diptera,4,0.5,0,0.0
Chironomidae ('worm' like but with head capsule; some red),25,3.0,9,1.1
Tipulidae ,0,0.0,0,0.0
lumbricidae,1,0.1,3,0.4
Ceratopogonidae,0,0.0,2,0.2
Coleoptera,1,0.1,0,0.0
"Dytiscidae (small, swimming beetles - many in margins)",10,1.2,30,3.7
Elminthidae (small black beetles),0,0.0,0,0.0
Helodidae (flattened slightly traingular larvae; brown),0,0.0,4,0.5
Hydracarina (Water mites),7,0.9,27,3.3
Bullhead larvae,0,0,0,0
Total,820,,811,
